City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Santa Cruz,BO,80.06,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
10,Galesong,ID,75.22,broken clouds,-5.3166,119.3661,Sapriadi Appy
12,Butaritari,KI,81.5,broken clouds,3.0707,172.7902,Isles Sunset Lodge
14,Tonj,SS,83.88,broken clouds,7.2737,28.6822,Lakan Hotel
15,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
24,Guerrero Negro,MX,72.09,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
27,Buala,SB,80.62,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
31,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
34,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
38,Rikitea,PF,77.86,light rain,-23.1203,-134.9692,People ThankYou
39,Labuhan,ID,78.31,few clouds,-6.8844,112.2051,DoubleFAG
42,Hithadhoo,MV,83.91,overcast clouds,-0.6,73.0833,Scoop Guest House
44,Dingle,PH,77.54,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
46,Lar,IN,83.91,few clouds,26.2039,83.9717,Ovaiskarni ward Lar
48,Port Alfred,ZA,71.35,clear sky,-33.5906,26.891,The Halyards Hotel
52,Hilo,US,77.29,mist,19.7297,-155.09,Hilo Hawaiian Hotel
53,Bengkulu,ID,76.03,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
54,Tiarei,PF,80.62,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
57,Cabo San Lucas,MX,82.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
61,Manono,CD,73.87,overcast clouds,-7.3,27.4167,Hotel hewa bora
65,Guasdualito,VE,73.4,moderate rain,7.2424,-70.7324,Hotel Cuibas
67,Basco,PH,82.98,broken clouds,20.4487,121.9702,Nathaniel's Lodge
68,Bowen,AU,71.28,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
69,Kurud,IN,82.56,clear sky,20.8322,81.7214,HOTEL DEWANGAN
74,Jatai,BR,75.72,clear sky,-17.8814,-51.7144,Hotel Califórnia
77,Arraial Do Cabo,BR,78.76,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
78,Lusambo,CD,75.13,overcast clouds,-4.9667,23.45,
