City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ghanzi,BW,-21.5667,21.7833,62.42,35,0,4.07,clear sky
1,Deer Lake,CA,49.1667,-57.4316,46.26,76,75,13.8,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,50.11,62,40,27.63,scattered clouds
3,Tuatapere,NZ,-46.1333,167.6833,51.55,89,60,4.38,broken clouds
4,Richards Bay,ZA,-28.783,32.0377,66.72,94,1,7.18,clear sky
5,Yulara,AU,-25.2406,130.9889,42.64,61,12,4.61,few clouds
6,Cape Town,ZA,-33.9258,18.4232,60.12,89,9,2.3,mist
7,Santa Cruz,BO,-17.8,-63.1667,80.06,31,0,4.61,clear sky
8,Albany,US,42.6001,-73.9662,68.92,41,100,1.01,overcast clouds
9,Bonavista,CA,48.6499,-53.1147,40.53,95,100,15.68,light rain
10,Galesong,ID,-5.3166,119.3661,75.22,84,67,5.14,broken clouds
11,Torbay,CA,47.6666,-52.7314,45.37,83,100,14.97,overcast clouds
12,Butaritari,KI,3.0707,172.7902,81.5,71,66,17.13,broken clouds
13,Ushuaia,AR,-54.8,-68.3,47.86,49,75,16.11,broken clouds
14,Tonj,SS,7.2737,28.6822,83.88,52,52,2.55,broken clouds
15,Puerto Ayora,EC,-0.7393,-90.3518,80.56,84,100,7.96,overcast clouds
16,Saint-Philippe,RE,-21.3585,55.7679,74.79,86,86,16.91,light rain
17,Bredasdorp,ZA,-34.5322,20.0403,59.04,92,31,4.05,scattered clouds
18,Fortuna,US,40.5982,-124.1573,55.65,95,100,16.11,overcast clouds
19,Altay,CN,47.8667,88.1167,56.48,59,100,5.01,overcast clouds
20,Qaanaaq,GL,77.484,-69.3632,19.18,80,5,5.61,clear sky
21,Carnarvon,AU,-24.8667,113.6333,62.67,55,0,6.91,clear sky
22,Flinders,AU,-34.5833,150.8552,52.18,68,1,5.01,clear sky
23,Mataura,NZ,-46.1927,168.8643,51.48,90,82,3.06,broken clouds
24,Guerrero Negro,MX,27.9769,-114.0611,72.09,54,5,13.04,clear sky
25,Gargzdai,LT,55.7128,21.4033,47.98,93,100,5.39,overcast clouds
26,Tasiilaq,GL,65.6145,-37.6368,28.56,70,50,0.83,scattered clouds
27,Buala,SB,-8.145,159.5921,80.62,79,14,6.13,few clouds
28,Hohhot,CN,40.8106,111.6522,48.49,37,0,6.71,clear sky
29,Sioux Lookout,CA,50.1001,-91.917,60.87,39,20,5.75,few clouds
30,Barrow,US,71.2906,-156.7887,12.22,85,100,16.11,overcast clouds
31,Souillac,MU,-20.5167,57.5167,75.58,94,75,18.41,light rain
32,Nikolskoye,RU,59.7035,30.7861,46.29,59,95,6.55,overcast clouds
33,San Isidro,PE,-12.1167,-77.05,69.39,68,0,9.22,clear sky
34,Mahebourg,MU,-20.4081,57.7,76.24,94,75,18.41,broken clouds
35,Busselton,AU,-33.65,115.3333,54.7,62,0,13.58,clear sky
36,Nemuro,JP,43.3236,145.575,40.05,96,14,8.57,few clouds
37,Mehamn,NO,71.0357,27.8492,33.71,82,100,10.4,light snow
38,Rikitea,PF,-23.1203,-134.9692,77.86,85,41,15.86,light rain
39,Labuhan,ID,-6.8844,112.2051,78.31,86,17,4.45,few clouds
40,Hovd,MN,48.0056,91.6419,50.59,25,72,1.95,broken clouds
41,Eureka,US,40.8021,-124.1637,55.92,74,100,8.01,overcast clouds
42,Hithadhoo,MV,-0.6,73.0833,83.91,74,100,15.86,overcast clouds
43,Bluff,NZ,-46.6,168.3333,51.8,86,96,6.46,overcast clouds
44,Dingle,PH,10.9995,122.6711,77.54,87,91,6.78,overcast clouds
45,Rocha,UY,-34.4833,-54.3333,63.03,71,100,5.39,overcast clouds
46,Lar,IN,26.2039,83.9717,83.91,47,17,7.45,few clouds
47,Vaini,TO,-21.2,-175.2,69.96,100,40,1.14,scattered clouds
48,Port Alfred,ZA,-33.5906,26.891,71.35,56,0,4.03,clear sky
49,Broome,US,42.2506,-75.833,67.17,36,0,4.0,clear sky
50,Iquique,CL,-20.2208,-70.1431,66.24,75,35,7.11,scattered clouds
51,New Norfolk,AU,-42.7826,147.0587,56.7,89,100,3.0,moderate rain
52,Hilo,US,19.7297,-155.09,77.29,96,100,3.44,mist
53,Bengkulu,ID,-3.8004,102.2655,76.03,87,95,3.13,overcast clouds
54,Tiarei,PF,-17.5333,-149.3333,80.62,80,88,10.4,overcast clouds
55,Grindavik,IS,63.8424,-22.4338,39.67,75,40,28.77,scattered clouds
56,Hobart,AU,-42.8794,147.3294,57.06,96,100,11.5,light intensity shower rain
57,Cabo San Lucas,MX,22.8909,-109.9124,82.62,57,0,6.91,clear sky
58,Jacutinga,BR,-22.2856,-46.6122,63.7,70,0,2.06,clear sky
59,Platanos,GR,37.6667,21.6167,63.09,79,0,3.47,clear sky
60,Chapais,CA,49.7834,-74.8492,40.78,32,4,13.44,clear sky
61,Manono,CD,-7.3,27.4167,73.87,69,99,3.49,overcast clouds
62,Mount Gambier,AU,-37.8333,140.7667,42.71,93,100,4.61,moderate rain
63,Bardiyah,LY,31.7561,25.0865,62.53,80,0,8.19,clear sky
64,Ponta Do Sol,PT,32.6667,-17.1,67.71,72,36,5.46,scattered clouds
65,Guasdualito,VE,7.2424,-70.7324,73.4,100,75,3.44,moderate rain
66,Castro,BR,-24.7911,-50.0119,63.01,80,78,4.25,broken clouds
67,Basco,PH,20.4487,121.9702,82.98,77,79,11.5,broken clouds
68,Bowen,AU,-20.0167,148.2333,71.28,92,4,5.7,clear sky
69,Kurud,IN,20.8322,81.7214,82.56,29,1,1.66,clear sky
70,Springbok,ZA,-29.6643,17.8865,63.37,34,0,3.96,clear sky
71,Milos,GR,36.75,24.4333,62.69,63,0,6.87,clear sky
72,Chuy,UY,-33.6971,-53.4616,63.64,67,85,5.88,overcast clouds
73,Geraldton,AU,-28.7667,114.6,57.61,47,0,12.66,clear sky
74,Jatai,BR,-17.8814,-51.7144,75.72,49,0,3.56,clear sky
75,Berdigestyakh,RU,62.0989,126.6992,24.84,97,91,6.02,overcast clouds
76,Port Augusta,AU,-32.5,137.7667,50.0,82,48,4.81,scattered clouds
77,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,65,40,12.66,scattered clouds
78,Lusambo,CD,-4.9667,23.45,75.13,76,100,2.28,overcast clouds
79,Borkenes,NO,68.774,16.1739,40.78,100,100,21.99,overcast clouds
80,Mar Del Plata,AR,-38.0023,-57.5575,69.82,52,0,10.33,clear sky
81,Muros,ES,42.7762,-9.0603,63.16,76,5,10.29,clear sky
82,Goderich,CA,43.7501,-81.7165,53.92,58,100,10.36,overcast clouds
83,Muzhi,RU,65.3667,64.6667,21.09,88,39,11.27,scattered clouds
84,Kitimat,CA,54.0524,-128.6534,50.38,80,100,0.81,overcast clouds
85,Yellowknife,CA,62.456,-114.3525,52.32,50,20,9.22,few clouds
86,Hualmay,PE,-11.0964,-77.6139,70.34,74,17,10.09,few clouds
87,Bukachacha,RU,52.9833,116.9167,25.99,57,13,5.46,few clouds
88,Sur,OM,22.5667,59.5289,81.37,64,0,8.37,clear sky
89,Sao Francisco Do Sul,BR,-26.2433,-48.6381,73.31,68,75,11.5,broken clouds
90,Khatanga,RU,71.9667,102.5,25.81,93,69,9.42,broken clouds
91,Kapaa,US,22.0752,-159.319,79.12,78,75,14.97,broken clouds
92,Pervomayskoye,RU,43.919,46.7102,57.54,75,100,9.75,overcast clouds
93,Provideniya,RU,64.3833,-173.3,29.07,80,69,2.59,broken clouds
94,Hermanus,ZA,-34.4187,19.2345,58.8,92,10,5.86,clear sky
95,Ahipara,NZ,-35.1667,173.1667,60.01,85,18,6.11,few clouds
96,Praya,CV,14.9215,-23.5087,77.54,61,0,17.27,clear sky
97,Gigmoto,PH,13.7796,124.39,80.08,85,30,7.0,scattered clouds
98,Bubaque,GW,11.2833,-15.8333,78.4,71,2,18.77,clear sky
99,Xinzhou,CN,38.4092,112.7333,62.71,34,78,5.86,broken clouds
100,Matara,LK,5.9485,80.5353,79.57,87,99,11.07,moderate rain
101,Longyearbyen,SJ,78.2186,15.6401,22.84,68,75,4.61,light snow
102,Jamestown,US,42.097,-79.2353,67.51,55,0,6.91,clear sky
103,Tautira,PF,-17.7333,-149.15,81.09,79,91,12.19,overcast clouds
104,Saldanha,ZA,-33.0117,17.9442,55.45,96,44,5.44,scattered clouds
105,Chaiya,TH,9.3862,99.1986,78.28,89,95,1.88,overcast clouds
106,Lagoa,PT,39.05,-27.9833,62.01,86,100,27.31,overcast clouds
