City,Country,Max Temp,Lat,Lng,Hotel Name
Marrakesh,MA,84.27,31.6315,-8.0083,
Buchanan,LR,81.21,5.8808,-10.0467,
Safford,US,81.1,32.834,-109.7076,
Kharakvasla,IN,80.31,18.4333,73.7667,
Hilo,US,77.29,19.7297,-155.09,
Saint-Philippe,RE,76.59,-21.3585,55.7679,
Rikitea,PF,78.24,-23.1203,-134.9692,
Souillac,MU,77.38,-20.5167,57.5167,
Faanui,PF,81.18,-16.4833,-151.75,
Cabo San Lucas,MX,82.62,22.8909,-109.9124,
Arraial Do Cabo,BR,78.76,-22.9661,-42.0278,
Georgetown,MY,82.33,5.4112,100.3354,
Fullerton,US,83.23,33.8703,-117.9253,
Shache,CN,76.48,38.4167,77.2406,
Namatanai,PG,79.48,-3.6667,152.4333,
Sur,OM,82.13,22.5667,59.5289,
Puerto Ayora,EC,76.96,-0.7393,-90.3518,
Boueni,YT,80.58,-12.9025,45.0761,
Porto Novo,BJ,82.22,6.4965,2.6036,
Touros,BR,77.32,-5.1989,-35.4608,
Riohacha,CO,91.15,11.5444,-72.9072,
San Patricio,US,86.88,28.017,-97.5169,
Hendala,LK,80.69,6.9909,79.883,
Calabozo,VE,90.57,8.9242,-67.4293,
Nhulunbuy,AU,79.41,-12.2333,136.7667,
Mangrol,IN,81.66,21.1167,70.1167,
Cap Malheureux,MU,75.47,-19.9842,57.6142,
Kapaa,US,77.32,22.0752,-159.319,
Gibara,CU,88.92,21.1097,-76.1317,
Rock Sound,BS,77.77,24.9,-76.2,
Hithadhoo,MV,83.84,-0.6,73.0833,
Gunjur,GM,87.87,13.2019,-16.7339,
Barahona,DO,85.82,18.2085,-71.1008,
Poum,NC,77.32,-20.2333,164.0167,
Haapiti,PF,80.33,-17.5667,-149.8667,
Camapua,BR,79.79,-19.5314,-54.0439,
Saint George,US,79.63,37.1041,-113.5841,
Butaritari,KI,81.86,3.0707,172.7902,
Roebourne,AU,76.32,-20.7833,117.1333,
Meulaboh,ID,77.0,4.1363,96.1285,
Bubaque,GW,78.6,11.2833,-15.8333,
Galveston,US,87.06,29.3669,-94.9669,
Abengourou,CI,81.75,6.7297,-3.4964,
Itaituba,BR,93.36,-4.2761,-55.9836,
Salalah,OM,84.29,17.0151,54.0924,
Atuona,PF,78.49,-9.8,-139.0333,
Mogadishu,SO,82.71,2.0371,45.3438,
