City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Marrakesh,MA,2022-05-05 18:18:56,31.6315,-8.0083,84.27,20,20,9.22
1,Tukrah,LY,2022-05-05 18:18:57,32.5341,20.5791,66.45,52,0,14.38
2,Kodiak,US,2022-05-05 18:18:23,57.79,-152.4072,42.31,81,100,12.66
3,Murray Bridge,AU,2022-05-05 18:18:58,-35.1167,139.2667,50.13,82,47,8.72
4,Buchanan,LR,2022-05-05 18:18:59,5.8808,-10.0467,81.21,82,86,16.42
5,Safford,US,2022-05-05 18:18:59,32.834,-109.7076,81.1,11,0,3.44
6,Esperance,AU,2022-05-05 18:19:01,-33.8667,121.9,53.38,78,24,8.66
7,Waipawa,NZ,2022-05-05 18:19:01,-41.4122,175.5153,50.05,92,7,4.59
8,Rocha,UY,2022-05-05 18:19:02,-34.4833,-54.3333,67.77,55,41,5.39
9,Kharakvasla,IN,2022-05-05 18:19:03,18.4333,73.7667,80.31,54,0,4.79
10,Koslan,RU,2022-05-05 18:19:04,63.4564,48.8989,26.6,86,81,4.0
11,Albany,US,2022-05-05 18:17:49,42.6001,-73.9662,65.91,45,71,1.01
12,Hilo,US,2022-05-05 18:19:05,19.7297,-155.09,77.29,96,100,3.44
13,Punta Arenas,CL,2022-05-05 18:19:06,-53.15,-70.9167,50.11,57,75,29.93
14,Saint-Philippe,RE,2022-05-05 18:19:06,-21.3585,55.7679,76.59,87,69,16.55
15,Jamestown,US,2022-05-05 18:14:22,42.097,-79.2353,63.52,58,0,9.22
16,Rikitea,PF,2022-05-05 18:17:27,-23.1203,-134.9692,78.24,85,38,14.63
17,Souillac,MU,2022-05-05 18:19:08,-20.5167,57.5167,77.38,83,75,19.57
18,Faanui,PF,2022-05-05 18:19:11,-16.4833,-151.75,81.18,74,31,7.81
19,Constitucion,CL,2022-05-05 18:19:12,-35.3333,-72.4167,61.12,75,99,6.51
20,Cabo San Lucas,MX,2022-05-05 18:16:48,22.8909,-109.9124,82.62,54,0,3.44
21,Tura,IN,2022-05-05 18:19:13,25.5198,90.2201,69.66,90,4,4.14
22,Arraial Do Cabo,BR,2022-05-05 18:19:14,-22.9661,-42.0278,78.76,61,40,12.66
23,Georgetown,MY,2022-05-05 18:18:43,5.4112,100.3354,82.33,88,20,3.44
24,Port Alfred,ZA,2022-05-05 18:19:15,-33.5906,26.891,71.55,62,2,5.01
25,Kizner,RU,2022-05-05 18:19:16,56.2749,51.508,32.77,78,62,8.99
